id_parciaiscore,id_secagenscore,subprojecto,material,potencia,tensao,massat,massai,cliente,tipotransf
209,91,E1110728A ,5,240,230,89166,6451,UNION FENOSA                                      ,NULL
162,59,E1110736A ,5,75,132,57563,2565,EMIRADOS ARABES                                   ,NULL
212,93,E1110776A ,5,30,230,33129,2173,CHILE                                             ,NULL
213,94,E1110724A ,5,225,225,105884,5400,IBERDROLA                                         ,NULL
214,95,E1110774A ,5,80,230,61998,3723,REN                                               ,NULL
215,95,E1110721A ,5,50,225,45362,2120,IBERDROLA                                         ,NULL
216,96,E1110745A ,5,40,60,34665,1044,SONELGAZ                                          ,NULL
217,97,E1110776A ,5,30,230,33129,2173,Empresa Eléctrica de la Frontera SA               ,NULL
218,98,E1110776A ,5,30,230,33129,2173,Empresa Eléctrica de la Frontera SA               ,NULL
219,98,E1110746A ,5,40,60,34665,1044,"Efacec Engenharia e Sistemas, S.A.                ",NULL
233,106,E1110753A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
234,106,E1110754A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
237,108,E1110787A ,5,28,15,22497,599,"Efacec Engenharia e Sistemas, S.A.                ",NULL
238,108,E1110788A ,5,28,15,22497,599,"Efacec Engenharia e Sistemas, S.A.                ",NULL
239,108,E1110790A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
240,109,E1110752A ,5,70,225,54621,2873,"Lydec, Lyonnaise des                              ",NULL
241,109,E1110791A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
192,57,E1110705A ,5,25,60,22,1098,ENDESA                                            ,NULL
242,110,E1110671A ,5,120,220,91638,4659,KAHRAKIB                                          ,NULL
243,110,E1110792A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
247,112,E1110793A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
248,112,E1110794A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
252,115,E1110672A ,5,120,220,91638,4659,KAHRAKIB                                          ,NULL
253,115,E1110798A ,5,36,60,793,18222,"Efacec Engenharia e Sistemas, S.A.                ",NULL
255,117,E1110671A ,5,120,220,91638,4659,KAHRAKIB                                          ,NULL
256,118,E1110778A ,5,27,69,13000,600,SM PEPCO-EUA                                      ,NULL
257,118,E1110779A ,5,21,138,13000,600,SM PEPCO-EUA                                      ,NULL
258,119,E1110751A ,5,70,225,54621,2873,"Lydec, Lyonnaise des                              ",NULL
259,119,E1110801A ,5,28,150,805,16462,"Efacec Angola, Lda                                ",NULL
260,0,E1110675A ,5,240,275,99281,4919,SSE  Escocia-Tummel 1                             ,NULL
262,0,E1110675A ,5,240,275,99281,4919,SSE  Escocia-Tummel 1                             ,NULL
263,120,E1110675A ,5,240,275,99281,4919,Scottish and Southern Energy plc                  ,NULL
264,121,E1110676A ,4,240,275,99281,4919,Scottish and Southern Energy plc                  ,NULL
163,0,E1110697A ,5,30,230,32900,1887,REE                                               ,NULL
254,116,E1110682A ,5,120,275,69297,3879,Scottish and Southern Energy plc                  ,NULL
266,123,E1110836A ,5,40,38,842,18139,Powerteam Electrical Services                     ,NULL
267,124,E1110676A ,5,240,275,99281,4919,Scottish and Southern Energy plc                  ,NULL
270,127,E1110755A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
271,128,E1110768A ,4,315,230,2000,2000,"Efacec Power Transformers, Inc.                   ",NULL
272,129,E1110777A ,5,14,34,11041,609,EUA                                               ,NULL
273,130,E1110800A ,5,25,34,10174,433,EUA                                               ,NULL
277,132,E1110756A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
278,132,E1110757A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
279,132,E1110749A ,5,20,60,17721,791,ANGOLA                                            ,NULL
280,133,E1110724A ,5,225,228,105884,5400,Iberdrola Distribución Electrica                  ,NULL
282,135,V11100057 ,4,160,230,10000,1500,mocambique                                        ,NULL
287,138,E1110837A ,5,20,117,10697,584,USA                                               ,NULL
288,138,E1110838A ,5,20,117,10697,584,USA                                               ,NULL
295,142,E1110803A ,5,120,220,91638,4659,Matelec s.a.l                                     ,NULL
193,82,E1110769A ,5,30,61.5,21242,822,CCC Luanda                                        ,NULL
194,82,E1110770A ,5,30,61.5,21242,822,CCC Luanda                                        ,NULL
268,125,E1110834A ,5,50,69,16448,797,SM PEPCO-EUA                                      ,NULL
285,137,V11100059 ,4,160,230,10000,1500,MOCAMBIQUE                                        ,NULL
286,137,E1110846A ,5,20,60,17721,791,ANGOLA                                            ,NULL
289,139,E1110835A ,5,35,135,16692,808,EUA                                               ,NULL
290,139,E1110837A ,5,20,117,10697,584,EUA                                               ,NULL
291,139,E1110838A ,5,20,117,10697,584,EUA                                               ,NULL
293,141,E1110815A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
294,141,E1110816A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
296,143,E1110815A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
297,143,E1110816A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
298,144,E1110789A ,5,45,138,20066,1395,E.U.A                                             ,NULL
299,144,E1110839A ,5,20,24,11015,582,NSTAR                                             ,NULL
300,144,E1110804A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
301,145,E1110805A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
187,80,E1110780A ,5,31.5,60,31514,1236,EDP                                               ,NULL
188,80,E1110782A ,5,31.5,60,31514,1236,EDP                                               ,NULL
189,80,V11100042 ,4,20,60,6750,700,SONELGAZ                                          ,NULL
261,0,E1110675A ,5,240,275,99281,4919,SSE  Escocia-Tummel 1                             ,NULL
